danm_id,commercial_name,active,inscription_date,registry_number,nombre_comercial_second,status,formula,active_ingredient,concentration,pharmaceutical_form_name,pharmaceutical_company,level_price,range_price,minimum_price_presentation,maximum_price_presentation,ranges_prices
040,VITAMINA C MK 500 mg TABLETAS,A,1964/02/17,040,VITAMINA C MK 500 mg TABLETAS,A,Ácido ascórbico (Vitamina C) 500 mg.,Ácido ascórbico (Vitamina C),500 mg.,TABLETAS,"CORPORACION BONIMA, S.A. DE C.V.",0.17,0.17,4.11,15.45,$4.11 - $15.45
10007,BACTRIM FORTE 800/160 mg COMPRIMIDOS ,A,1977/12/20,10007,BACTRIM FORTE 800/160 mg COMPRIMIDOS ,A,Sulfametoxazol 800 mg. + Trimetoprim 160 mg.,Sulfametoxazol + Trimetoprim,800 mg. + 160 mg.,COMPRIMIDO,PRODUCTOS ROCHE QUIMICOS E FARMACEUTICOS S.A.,0.45,0.45,4.5,4.5,$4.50 - $4.50
10015,VENTOLIN SOLUCION PARA RESPIRADOR 0.5%,A,1978/12/20,10015,VENTOLIN SOLUCION PARA RESPIRADOR 0.5%,A,Sulfato de salbutamol 0.6 %,Sulfato de salbutamol,0.6 %,SOLUCION,GLAXO OPERATIONS UK LTD. TRADING AS GLAXO WELLCOME OPERATIONS,0.65,0.65,7.66,10.85,$7.66 - $10.85
10066,DOGMATIL 50 mg CAPSULAS,A,1978/02/07,10066,DOGMATIL 50 mg CAPSULAS,A,SULPIRIDE 50 mg.,SULPIRIDE,50 mg.,CAPSULA,DELPHARM DIJON,0.44,0.44,13.22,13.27,$13.22 - $13.27
10069,DOGMATIL 200 mg COMPRIMIDOS RANURADOS,A,1978/02/07,10069,DOGMATIL 200 mg COMPRIMIDOS RANURADOS,A,SULPIRIDE 200 mg.,SULPIRIDE,200 mg.,COMPRIMIDOS,DELPHARM DIJON,1.02,1.02,12.21,12.21,$12.21 - $12.21
10089,PANTOGAR CAPSULAS,A,1978/02/20,10089,PANTOGAR CAPSULAS,A,L-CISTEINA 20 mg. + QUERATINA 20 mg. + FAEX MEDICINALIS SICCATA (SACCHAROMYCES MED. VIGAR) 100 mg. + ACIDO P-AMINOBENZOICO 20 mg. + NITRATO DE TIAMINA 60 mg. + D-PANTOTENATO DE CALCIO 60 mg.,L-CISTEINA + QUERATINA + FAEX MEDICINALIS SICCATA (SACCHAROMYCES MED. VIGAR) + ACIDO P-AMINOBENZOICO + NITRATO DE TIAMINA + D-PANTOTENATO DE CALCIO,20 mg. + 20 mg. + 100 mg. + 20 mg. + 60 mg. + 60 mg.,CAPSULA,ACINO PHARMA AG,0.38,0.38,11.89,33.31,$11.89 - $33.31
10147,MENEPAROL SOLUCION ORAL ,A,1978/04/11,10147,MENEPAROL SOLUCION ORAL ,A,CLORHIDRATO DE L-ARGININA 5 mg. + CLORHIDRATO DE L-ORNITINA 1.25 mg. + CIANOCOBALAMINA 25 mcg. + L - CITRULINA  1.25 mg. + EXTRACTO HEPATICO 30 mg.,CLORHIDRATO DE L-ARGININA + CLORHIDRATO DE L-ORNITINA + CIANOCOBALAMINA + L - CITRULINA  + EXTRACTO HEPATICO,5 mg. + 1.25 mg. + 25 mcg. + 1.25 mg. + 30 mg.,SOLUCION ORAL,"LABORATORIOS MENARINI, SA",0.93,0.93,20.3,20.87,$20.30 - $20.87
10199,ROWATANAL CREMA,A,1978/05/23,10199,ROWATANAL CREMA,A,OXIDO DE ZINC 8 g. + Mentol 1 g. + Carbonato de calcio 5 g. + BISMUTO 2 g.,OXIDO DE ZINC + Mentol + Carbonato de calcio + BISMUTO,8 g. + 1 g. + 5 g. + 2 g.,CREMA,ROWA PHARMACEUTICALS LIMITED,0.41,0.41,9.21,9.32,$9.21 - $9.32
10294,GRAVIDEX 50 mg/mL  SOLUCION INYECTABLE,A,1978/08/22,10294,GRAVIDEX 50 mg/mL  SOLUCION INYECTABLE,A,Dimenhidrinato 50 mg. + Dimenhidrinato 50 mg.,Dimenhidrinato + Dimenhidrinato,50 mg. + 50 mg.,SOLUCION INYECTABLE,"LABORATORIOS ARSAL, S.A. DE C.V.",,,,,
10440,BIPERIDENO 2mg TABLETAS PHARMEDIC,A,1978/09/19,10440,BIPERIDENO 2mg TABLETAS PHARMEDIC,A,Biperideno Clorhidrato 2 mg.,Biperideno Clorhidrato,2 mg.,TABLETAS,LABORATORIOS PHARMEDIC,0.23,0.23,6.38,12.38,$6.38 - $12.38
10544,TONICON B-12 GRAGEAS,A,1979/01/16,,,,,,,,,0.19,0.19,5.67,5.67,$5.67 - $5.67
106,MEGAFOL-9  5 mg TABLETAS,A,1965/08/10,106,MEGAFOL-9  5 mg TABLETAS,A,Folacina 5 mg.,Folacina,5 mg.,TABLETA,"LABORATORIOS ARSAL, S.A. DE C.V.",0.2,0.2,6.33,18.28,$6.33 - $18.28
